candidate_family	suspected_marker_source	suspected_marker_target	suspected_direction	attached_token	normalized_attached_token_candidate	context_type	suggested_action	confidence	count	volume_count	sample_refs	sample_contexts	notes
standalone_marker_candidate	/	↑	upward	dan	dan	transliteration	source_image_review_needed	medium	27	1	wts_9_m:17:60;wts_9_m:24:78;wts_9_m:29:19;wts_9_m:38:20;wts_9_m:43:34;wts_9_m:75:13;wts_9_m:75:13;wts_9_m:115:51	"dan /rta dbyans dan / — dan / pha khol dani / || ma /0/20/ dan / pha khol dan / thub dka' dani / || Lex. ma ri /5/ dan — smig royu ""dom na ri"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	lha	lha	transliteration	source_image_review_needed	medium	11	1	wts_9_m:10:92;wts_9_m:68:50;wts_9_m:95:83;wts_9_m:96:78;wts_9_m:119:80;wts_9_m:126:44;wts_9_m:135:90;wts_9_m:248:36	kar du / lha gsegs ni Zal — 'tshol (metr.) || kha ru / lha srin sde brgyad skuris kha btsugs || dwags byol son dan / lha dar lha min — mams	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	rgyal	rgyal	transliteration	source_image_review_needed	medium	9	1	wts_9_m:44:30;wts_9_m:51:57;wts_9_m:84:76;wts_9_m:94:9;wts_9_m:137:39;wts_9_m:175:58;wts_9_m:212:31;wts_9_m:285:7	"'ons dusna 6@ 77? / /)// khyod kyari / rgyal ba de || la / rgyal po bharthā ri byun ""in einer Familie, || ga' Ziggi — yin zer mod / rgyal ba bskal bzan"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	chos	chos	transliteration	source_image_review_needed	medium	8	1	wts_9_m:17:61;wts_9_m:42:40;wts_9_m:44:59;wts_9_m:126:61;wts_9_m:177:8;wts_9_m:187:41;wts_9_m:270:21;wts_9_m:394:15	"lhub dka' dan / chos ldan rab 'byor dan / ma ti || dari ldan pa 'ba' zig tn yari — kyi / chos sgrogs || der / chos thams cad dar gyis ""mithilfe dieser"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	rgya	rgya	transliteration	source_image_review_needed	medium	7	1	wts_9_m:66:32;wts_9_m:66:75;wts_9_m:80:55;wts_9_m:137:75;wts_9_m:228:46;wts_9_m:260:61;wts_9_m:330:69	"nag ston rur / rgya $0'// den pan dan / nol || te / bur bsan / —""irgyal po zer te / rgya gar gyi || gzus nas — / rgya 'dul ba 'dzin pa'i slob ma"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	dge	dge	transliteration	source_image_review_needed	medium	6	1	wts_9_m:19:33;wts_9_m:30:73;wts_9_m:103:12;wts_9_m:169:77;wts_9_m:306:75;wts_9_m:316:61	mthil gnas pa ltar / dge slonn — yis mthon || za ma ma yin nam / — ma yin nam / dge || mi dge las beu sparis nas su / dge ba bceu po	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	gzugs	gzugs	transliteration	source_image_review_needed	medium	6	1	wts_9_m:160:16;wts_9_m:205:82;wts_9_m:290:3;wts_9_m:344:36;wts_9_m:354:60;wts_9_m:354:61	"rmi lam dan / — dari / gzugs brrian dan ... || peinigte"" (K6 da 52b6); khab ni —""i / gzugs || de'i min — gzugs can stin po / — gzugs can"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	dan	dan	cross_reference+transliteration	source_image_review_needed	medium	5	1	wts_9_m:75:67;wts_9_m:107:48;wts_9_m:163:32;wts_9_m:314:32;wts_9_m:321:11	"Mandala"" (Padm 28724); 9.3/// dan mu men || 10); sku la $77//?? dan sbrib skyems (r. skyem) || 12.24); yige bam ni bsgrub bya yi / — dan"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	nan	nan	transliteration	source_image_review_needed	medium	5	1	wts_9_m:137:5;wts_9_m:144:32;wts_9_m:199:17;wts_9_m:280:41;wts_9_m:337:43	"Lex. bka' gdams lha //2/'/ nan tshan Zig ""ei- || rnams kun la —'i / nan pa rnams ni ... brlag || seobrgya yi/ nan du tal is phyin (metr.)"	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
standalone_marker_candidate	/	↑	upward	ma'i	ma'i	transliteration	source_image_review_needed	medium	4	1	wts_9_m:32:25;wts_9_m:43:53;wts_9_m:160:20;wts_9_m:177:48	Lex. )7/ ma'i chun ma'ah zer (brDa, ähnl. || Lex. )7/ ma'i min (brDa, Dagy). || dan smigrgyu dan $,07/// ma'i pha rol tu phyin	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
