volume	page	line	token	candidate_family	proposed_target	context_excerpt	evidence	confidence	suggested_action	score	score_explanation
wts_1_34	5	38	ın	dotless_i	in	Dieses einheimische Wörterbuch war zwar 1954 ın China nachgedruckt worden, es war	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	6	46	nam-mkha’ı	dotless_i	nam-mkha’i	des tibetisch-tibetischen Wörterbuches des Khyun-sprul ’Jigs-med nam-mkha’ı	orthography_scan	medium	review	45	Dotless i is likely OCR damage in transliteration.
wts_1_34	8	74	wiıe	dotless_i	wiie	wiıe ta, tha, da, na, śa behandelt.	orthography_scan	medium	review	45	Dotless i is likely OCR damage in transliteration.
wts_1_34	12	42	$	dollar_ś	ś	Akhri 7 709$ ldan nams brgyud kyi rnam thar rin chen phrin |[!] ba. Ed.: A-tri thun-tsham 1967,	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_1_34	13	5	AtıH	dotless_i	AtiH	AtıH	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	13	7	AtıNth	dotless_i	AtiNth	AtıNth	orthography_scan	medium	review	45	Dotless i is likely OCR damage in transliteration.
wts_1_34	14	49	lorı	dotless_i	lori	snod beud kun gsal me lorı (verf. 1830). Ohne weiteren Zusatz bezeichnet das Kürzel	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	14	83	$	dollar_ś	ś	3: 563-619] dGe ldan plmyag rgya chen po’i khrid kyi zin bris Zal lun bdud ?7$/”/ thigs	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_1_34	18	78	$	dollar_ś	ś	Fortsetzung hierzu: | $750. Exzp.: H. Uebach.	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_1_34	18	152	$	dollar_ś	ś	592-595; Fortsetzung von ༈ $750. Exzp.: H. Uebach.	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_1_34	19	182	kärıka-vyäakhyäna	dotless_i	kärika-vyäakhyäna	kärıka-vyäakhyäna. Ed.: Derge-Tanjur, ’Dul ba, su 162b3-246a7.	orthography_scan	medium	review	45	Dotless i is likely OCR damage in transliteration.
wts_1_34	20	75	ı	dotless_i	i	ı Vis	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	20	96	TıLal	dotless_i	TiLal	TıLal	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	20	98	TıLa	dotless_i	TiLa	TıLa2	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	21	60	VıpyAsmüsana	dotless_i	VipyAsmüsana	Amarasimha | VıpyAsmüsana 1911 [Ak]	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	21	101	xlı	dotless_i	xli	xlı	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	22	66	VıwvAsHüsana	dotless_i	ViwvAsHüsana	’Chi med sen ge [d. 1, Amara] ! VıwvAsHüsana 1911 [Ak]	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	23	70	xlıv	dotless_i	xliv	xlıv	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
wts_1_34	24	56	RıcHharpson	dotless_i	RicHharpson	Inschriften \ Lv/’Cosum 1987 [In1-13], | RıcHharpson 1985 [In14]	orthography_scan	low	review	20	Dotless i is likely OCR damage in transliteration.
