volume	page	line	token_index	observed_tibetan	adjudicated_tibetan	latin_source	latin_target	root_change	identity_status	evidence_channel	evidence	review_batch
wts_1_34	360	84	1	ཀོང	གོང	gon	goṅ	yes	supersede_latin_correction	dispositive_local_lemma_order	Continuous གོང run and same-entry citation establish occurrence-specific གོང.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	361	71	1	ཀོང	གོང	gon	goṅ	yes	supersede_latin_correction	exact_adjacent_sibling	Immediate གོང་ཡོལ/goṅ yol sibling with the same gloss establishes གོང.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	361	111	1	ཀོང	གོང	gon	goṅ	yes	supersede_latin_correction	dispositive_local_lemma_order	Continuous གོང section immediately before གོང་ས establishes the identity.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	999	202	2	ཀོང	གོང	gon	goṅ	yes	supersede_latin_correction	exact_repeated_headword	Exact same-page ཐལ་གོང/thal goṅ at 999:167 establishes the repeated identity.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	366	67	1	ཀྱང	གྱང	gyaṅ	gyaṅ	yes	supersede_latin_correction	dispositive_local_lemma_order	The gya-/gyaṅ-/gyad sequence establishes initial Tibetan ག.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	388	70	1	ཀྲོང	གྲོང	gron	groṅ	yes	supersede_latin_correction	dispositive_local_lemma_order	Continuous གྲོང material and nearby གྲོང་དཔོན establish this occurrence despite genuine ཀྲོང elsewhere.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	724	164	3	རྐྱང	རྒྱང	rgyan	rgyaṅ	yes	supersede_latin_correction	exact_repeated_compound	Clean རྒྱང་ཕན/rgyaṅ phan at 466:85 explicitly cross-references this compound.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	724	212	3	རྐྱང	རྒྱང	rgyan	rgyaṅ	yes	supersede_latin_correction	exact_repeated_compound	Clean རྒྱང་ཕན/rgyaṅ phan at 466:85 explicitly cross-references this compound.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	99	38	4	བཙུན	བཙུན	bisun	btsun	yes	retain_latin_correction	independent_clean_same_tibetan_identity	Many clean བཙུན/btsun identities across volumes confirm the exact compound member; order is not independently dispositive.	i_to_t_occurrence_identity_reaudit_20260729
wts_1_34	298	1	3	བཙལ	བཙལ	bisal	btsal	yes	retain_latin_correction	exact_same_entry_sibling	The identical headword at 298:3 reads བཙལ/btsal and independently confirms the Tibetan identity.	i_to_t_occurrence_identity_reaudit_20260729
wts_1_34	299	105	3	བརྟུལ	བརྟུལ	briul	brtul	yes	retain_latin_correction	nearby_clean_same_tibetan_identity	Clean བརྟུལ/brtul at 299:115 and independent cross-volume identities confirm the Tibetan stack.	i_to_t_occurrence_identity_reaudit_20260729
wts_1_34	621	199	4	བརྩེགས	བརྩེགས	brisegs	brtsegs	yes	retain_latin_correction	independent_clean_same_tibetan_identity	Multiple clean བརྩེགས/brtsegs identities across volumes confirm this internal compound member; order is not dispositive.	i_to_t_occurrence_identity_reaudit_20260729
wts_1_34	913	220	1	རྟ	རྟ	ria	rta	yes	retain_latin_correction	dispositive_local_lemma_order	The occurrence lies in the dense uninterrupted རྟ headword run, with numerous clean rta siblings.	i_to_t_occurrence_identity_reaudit_20260729
wts_35_51	402	10	2	ཚུད	ཚུད	ishud	tshud	yes	retain_latin_correction	exact_same_entry_sibling	The same ནང་ཚུད/tshud headword occurs at 402:1, independently confirming the Tibetan identity.	i_to_t_occurrence_identity_reaudit_20260729
wts_8_b	357	1	3	རྟུལ	རྟུལ	riul	rtul	yes	retain_latin_correction	independent_clean_same_tibetan_identity	Clean རྟུལ/rtul entries in all corpus volumes confirm the exact compound member; order is not dispositive.	i_to_t_occurrence_identity_reaudit_20260729
wts_1_34	1059	9	1	མཐུ	མཐུ	mihn	mthu	yes	retain_latin_correction	independent_clean_same_tibetan_identity	Sixteen secure clean མཐུ/mthu observations, including the immediately preceding མཐུ headword run, independently establish the exact Tibetan identity.	i_to_t_residual_exact_review_20260729
