volume	page	line	token_index	observed_tibetan	adjudicated_tibetan	reason	evidence	review_batch	teaching_status
wts_1_34	407	173	2	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order, sibling བདུན, and independently attested bdun	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	567	29	2	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order, sibling བདུན, and independently attested bdun	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	810	128	3	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order, sibling བདུན, and independently attested bdun	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	912	101	2	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	bracketed by trusted རྟ་བདུན siblings in the same lemma run	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	912	108	2	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	bracketed by trusted རྟ་བདུན siblings in the same lemma run	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	1064	91	4	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order, sibling བདུན, and independently attested bdun	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	1064	137	5	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order, sibling བདུན, and independently attested bdun	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_9_m	371	10	2	བདན	བདུན	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order, sibling བདུན, and independently attested bdun	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	919	177	1	རྟལ	རྟུལ	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order among རྟུན, རྟུལ་པོ, and རྟུལ་བ	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	919	237	1	རྟལ	རྟུལ	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order among རྟུན, རྟུལ་པོ, and རྟུལ་བ	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	920	22	1	རྟལ	རྟུལ	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order among རྟུན, རྟུལ་པོ, and རྟུལ་བ	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_8_b	357	14	3	རྟལ	རྟུལ	reviewed_exact_tibetan_headword_vowel_ocr	local lemma order and independently attested རྟུལ/rtul sibling	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_35_51	235	31	8	རྡ	རྡོ	reviewed_exact_tibetan_headword_vowel_ocr	repeated རྡོ་རྗེ sibling run and independently attested rdo	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_35_51	238	28	1	རྡ	རྡོ	reviewed_exact_tibetan_headword_vowel_ocr	repeated རྡོ་རྗེ sibling run and independently attested rdo	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_35_51	243	44	1	རྡ	རྡོ	reviewed_exact_tibetan_headword_vowel_ocr	repeated རྡོ་རྗེ sibling run and independently attested rdo	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_35_51	247	32	1	རྡ	རྡོ	reviewed_exact_tibetan_headword_vowel_ocr	repeated རྡོ sibling forms and independently attested rdo	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_9_m	196	31	2	རྡ	རྡོ	reviewed_exact_tibetan_headword_vowel_ocr	repeated རྡོ sibling forms and independently attested rdo	tibetan_headword_ordinal_conflicts_20260728	tibetan_ocr_corrected_observation
wts_1_34	352	172	3	ཀི	ཀྱི	reviewed_exact_tibetan_headword_subjoined_ocr	Latin kyi and independently clean ཀྱི/kyi grammatical siblings; exact compound member	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_8_b	119	5	2	ཀི	ཀྱི	reviewed_exact_tibetan_headword_subjoined_ocr	adjacent lemma run contains repeated clean ཀྱི/kyi forms	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	287	9	1	ཁུག	ཁྱུག	reviewed_exact_tibetan_headword_subjoined_ocr	local lemma run contains clean ཁྱུག/khyug sibling immediately afterward	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	287	97	1	ཁུང	ཁྱུང	reviewed_exact_tibetan_headword_subjoined_ocr	local lemma run contains clean ཁྱུང/khyun siblings immediately before	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_35_51	476	57	2	གི	གྱི	reviewed_exact_tibetan_headword_subjoined_ocr	adjacent lemma run repeatedly has ནོར་གྱི/gyi and the same grammatical construction	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_35_51	599	39	2	ཕོད	ཕྱོད	reviewed_exact_tibetan_headword_subjoined_ocr	local lemma slot lies among ཕྱ-series entries and Latin phyod preserves the missing subjoined y	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_35_51	1049	3	1	ཕོལ	ཕྱོལ	reviewed_exact_tibetan_headword_subjoined_ocr	local lemma slot directly follows ཕྱོར entries; Latin phyol preserves the missing subjoined y	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_8_b	161	5	1	བག	བྱག	reviewed_exact_tibetan_headword_subjoined_ocr	four adjacent same-entry/sibling བྱག་མཁན/byag mkhan forms bracket the damaged row	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	1074	8	2	འཁར	འཁྱར	reviewed_exact_tibetan_headword_subjoined_ocr	immediately preceding trusted lemma is exact འཐེང་འཁྱར/then khyar sibling	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
