volume	page	line	corrected_exact_tokens	current_line	remaining_damaged_segment	classification	internal_evidence	next_action
wts_1_34	491	208	chun → chuṅ	SQ ཆུང་ 'sge’n chuṅ }'sge’n.	'sge’n; }'sge’n	resolvable_from_repeated_dictionary_entries	Compare the clean headword སྒེའུ་ཆུང་ sge’u chuṅ at page 491 line 157; both damaged forms appear to repeat sge’u, but punctuation and token boundaries require a separate exact review.	Review as a bounded sge’u family; do not alter the secure chuṅ token.
wts_1_34	659	3	chun → chuṅ (tokens 1 and 2)	ཆུང་ཆུང་ chuṅ chuṅ klein, sehr klein.		internally_resolved_now	Both Latin tokens align directly and independently with the two Tibetan ཆུང syllables; no neighbouring damage remains.	Retain as a corrected control.
wts_1_34	659	22	chun → chuṅ	ཆུང་སྟག་ chuṅ /¡7£ zweitjüngster.	/¡7£	internally_resolvable_now	The damaged token occupies the position of Tibetan སྟག and clean stag attestations are abundant, but it belongs to a separate consonant-and-glyph damage family.	Review exact /¡7£ → stag evidence separately.
wts_1_34	823	1	chun → chuṅ	སྙིང་ཕོད་ཆུང་བ་ 4?7//7 phod chuṅ ba	4?7//7	resolvable_from_repeated_dictionary_entries	The same Tibetan phrase recurs at page 823 line 5, and internal headwords consistently transcribe སྙིང as sñiṅ; the two OCR shapes differ, so exact source-token treatment remains separate.	Review both page 823 phrase repetitions as one bounded sñiṅ family.
wts_1_34	823	5	chun → chuṅ	སྙིང་ཕོད་ཆུང་བ་ $?7/77 phod chuṅ ba Feigling; vgl. སྙིང་བརྩེ་ säin brtse Liebe, Mitgefühl; - ba’; blo	$?7/77; säin	resolvable_from_repeated_dictionary_entries	The repeated phrase at page 823 line 1 identifies the first damaged word; säin is a separate recurring OCR/transcription variant of sñiṅ and must not be folded into the chuṅ correction.	Review the repeated sñiṅ forms as a separate exact family.
wts_1_34	833	61	chun → chuṅ	བསྙོད་ཆུང་ £3/707 chuṅ	£3/707	low_confidence_diagnostic_only	A cleaner repetition at page 833 line 109 reads བསྙོད་ཆུང་ bsüod chuṅ, but the Latin rendering itself is unusual and the damaged glyph sequence does not support a unique token reconstruction without a dedicated lexical review.	Defer pending a bounded bsñod/bsüod analysis.
wts_1_34	981	58	chun → chuṅ	ཐ་ཆུང་རྨུ་ལྟམ་ཐང་མོ་སྨན་ 77% chuṅ )7?7// Ilcam	77%; )7?7//; Ilcam	Dublin_source_image_review_required	The checked-in Tibetan phrase supports tha chuṅ and subsequent Tibetan words, but the three damaged Latin segments cannot be uniquely segmented or reconstructed from internal parallels.	Inspect the printed page in Dublin; retain the exact chuṅ correction meanwhile.
wts_1_34	107	3	than → thaṅ	ཀྱས་ཐང་ལ་ kyus thaṅ la npr. Kloster in 2 1531	2 1531	later_gloss_or_commentary_damage	The exact Tibetan ཐང and Latin headword token align before the later numerical material; the number does not affect the accepted thaṅ correction.	Retain the later number unchanged; review only if a citation-cleanup family is undertaken.
wts_1_34	199	164	than → thaṅ	སྐྱིན་ཐང་ skyin thaṅ auch skyin dan, skyin 777	777	later_gloss_or_commentary_damage	The exact Tibetan ཐང aligns with thaṅ; the later damaged alternate expression is outside the aligned headword phrase.	Keep 777 for a separate damaged-alternate-expression review.
wts_1_34	988	197	than → thaṅ	ཐང་ག་ thaṅ ga 1//77/7 ka 2,	1//77/7	later_gloss_or_commentary_damage	The initial Tibetan ཐང and Latin thaṅ align exactly; the following damaged alternate or cross-reference does not shift that token.	Keep 1//77/7 unchanged for a separate reference-form analysis.
wts_1_34	1159	51	khan → khaṅ	དུད་ཁང་ dud khaṅ Badehaus; vgl. [%//95 khan,	[%//95 khan	later_gloss_or_commentary_damage	The Tibetan ཁང and first Latin khaṅ align exactly; the damaged later comparison is outside the aligned headword phrase.	Keep the comparison unchanged for a separate damaged cross-reference analysis.
