tibetan_syllable	target	target_authority	tibetan_role	tibetan_feature	target_start	target_end	target_span	rule_id	structural_context	domain_authority
ཀ	ka	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀ	ka	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀག	kag	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀག	kag	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀག	kag	complete_not_currently_authoritative	suffix_coda	ག	2	3	g	CORPUS_9A673562CD7A	contrastive	ordinary_only
ཀང	kaṅ	correction_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀང	kaṅ	correction_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀང	kaṅ	correction_authoritative	suffix_coda	ང	2	3	ṅ	SUFFIX_NG_TO_NDOT	token_final	ordinary_only
ཀད	kad	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀད	kad	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀད	kad	complete_not_currently_authoritative	suffix_coda	ད	2	3	d	CORPUS_DDC164B090C8	contrastive	ordinary_only
ཀན	kan	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀན	kan	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀན	kan	complete_not_currently_authoritative	suffix_coda	ན	2	3	n	CORPUS_76CFA3FCFF21	contrastive	ordinary_only
ཀབ	kab	correction_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀབ	kab	correction_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀབ	kab	correction_authoritative	suffix_coda	བ	2	3	b	CORPUS_0C6592BB5CEF	contrastive	ordinary_only
ཀམ	kam	correction_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀམ	kam	correction_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀམ	kam	correction_authoritative	suffix_coda	མ	2	3	m	CORPUS_5683E9A09D00	contrastive	ordinary_only
ཀམས	kams	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀམས	kams	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀམས	kams	complete_not_currently_authoritative	suffix_coda	མ	2	3	m	CORPUS_5683E9A09D00	contrastive	ordinary_only
ཀམས	kams	complete_not_currently_authoritative	post_suffix	ས	3	4	s	CORPUS_F685D66CEF46	contrastive	ordinary_only
ཀར	kar	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀར	kar	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀར	kar	complete_not_currently_authoritative	suffix_coda	ར	2	3	r	CORPUS_6783C3DA00D4	contrastive	ordinary_only
ཀལ	kal	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀལ	kal	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀལ	kal	complete_not_currently_authoritative	suffix_coda	ལ	2	3	l	RESIDUAL_A5A2CF47705E	single_unknown_residual_induction	ordinary_only
ཀས	kas	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀས	kas	complete_not_currently_authoritative	vowel	a	1	2	a	CORPUS_01025FAF5D30	contrastive	ordinary_only
ཀས	kas	complete_not_currently_authoritative	suffix_coda	ས	2	3	s	CORPUS_735B62E02527	contrastive	ordinary_only
ཀི	ki	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀི	ki	complete_not_currently_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིག	kig	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀིག	kig	complete_not_currently_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིག	kig	complete_not_currently_authoritative	suffix_coda	ག	2	3	g	CORPUS_9A673562CD7A	contrastive	ordinary_only
ཀིང	kiṅ	correction_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀིང	kiṅ	correction_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིང	kiṅ	correction_authoritative	suffix_coda	ང	2	3	ṅ	SUFFIX_NG_TO_NDOT	token_final	ordinary_only
ཀིན	kin	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀིན	kin	complete_not_currently_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིན	kin	complete_not_currently_authoritative	suffix_coda	ན	2	3	n	CORPUS_76CFA3FCFF21	contrastive	ordinary_only
ཀིམ	kim	correction_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀིམ	kim	correction_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིམ	kim	correction_authoritative	suffix_coda	མ	2	3	m	CORPUS_5683E9A09D00	contrastive	ordinary_only
ཀིར	kir	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀིར	kir	complete_not_currently_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིར	kir	complete_not_currently_authoritative	suffix_coda	ར	2	3	r	CORPUS_6783C3DA00D4	contrastive	ordinary_only
ཀིས	kis	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀིས	kis	complete_not_currently_authoritative	vowel	i	1	2	i	CORPUS_63EB474B7A3F	contrastive	ordinary_only
ཀིས	kis	complete_not_currently_authoritative	suffix_coda	ས	2	3	s	CORPUS_735B62E02527	contrastive	ordinary_only
ཀུ	ku	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀུ	ku	complete_not_currently_authoritative	vowel	u	1	2	u	CORPUS_84A74DBDD722	contrastive	ordinary_only
ཀུག	kug	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀུག	kug	complete_not_currently_authoritative	vowel	u	1	2	u	CORPUS_84A74DBDD722	contrastive	ordinary_only
ཀུག	kug	complete_not_currently_authoritative	suffix_coda	ག	2	3	g	CORPUS_9A673562CD7A	contrastive	ordinary_only
ཀུང	kuṅ	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀུང	kuṅ	complete_not_currently_authoritative	vowel	u	1	2	u	CORPUS_84A74DBDD722	contrastive	ordinary_only
ཀུང	kuṅ	complete_not_currently_authoritative	suffix_coda	ང	2	3	ṅ	SUFFIX_NG_TO_NDOT	token_final	ordinary_only
ཀུད	kud	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
ཀུད	kud	complete_not_currently_authoritative	vowel	u	1	2	u	CORPUS_84A74DBDD722	contrastive	ordinary_only
ཀུད	kud	complete_not_currently_authoritative	suffix_coda	ད	2	3	d	CORPUS_DDC164B090C8	contrastive	ordinary_only
ཀུན	kun	complete_not_currently_authoritative	root_consonant	ཀ	0	1	k	RESIDUAL_16C7C1641787	single_unknown_residual_induction	ordinary_only
