volume	page	line	token_index	observed_tibetan	adjudicated_tibetan	latin_token	decision	lemma_ordinal	neighbour_window	evidence	review_batch
wts_1_34	407	173	2	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	5362	5357-5367:དགང་སྙིང/dgun shäin … དགུང་གནམ/dgun	Latin bdun independently attested; missing ུ is confined to the compound member and is not Latin evidence.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	567	29	2	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	7141	7136-7146:སྔ་སོ/sa so … སྔར་ཕན/shar phan	Latin bdun independently attested; the compound member lacks the otherwise attested ུ sign.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	810	128	3	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	9425	9420-9430:མཉམ་བདན/bdun … རྙང་མ/ma	Local compound run and independent བདུན/bdun sibling establish a Tibetan missing-vowel OCR observation.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	912	101	2	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	10000	9995-10005 includes རྟ་བདུན་དབང་པོ/rta bdun dbaṅ po at 9996 and 10002	The damaged form lies between two exact རྟ་བདུན siblings in the same local lemma run.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	912	108	2	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	10001	9996-10002 brackets the row with two རྟ་བདུན/rta bdun entries	The immediately bracketing sibling entries independently confirm missing Tibetan ུ.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	1064	91	4	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	11741	11736-11746:continuous མཐོ་རིས compound run	Independent bdun sibling evidence identifies a compound-internal missing Tibetan vowel sign.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	1064	137	5	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	11748	11743-11753:continuous མཐོ་རིས/མཐོང run	Independent bdun sibling evidence identifies a compound-internal missing Tibetan vowel sign.	tibetan_headword_ordinal_conflicts_20260728
wts_9_m	371	10	2	བདན	བདུན	bdun	tibetan_headword_ocr_confirmed	24058	24057 སྨིན་དྲུག…; 24059 སྨིན་བདུན་ལོངས/bdun loṅs	The following lemma supplies the exact བདུན/bdun sibling in the same local sequence.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	919	177	1	རྟལ	རྟུལ	rtul	tibetan_headword_ocr_confirmed	10133	10128-10138 includes རྟུན, རྟུལ་པོ, and རྟུལ་བ	Local order places these entries in the explicit-u run; rtul and independently attested རྟུལ agree.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	919	237	1	རྟལ	རྟུལ	rtul	tibetan_headword_ocr_confirmed	10137	10132-10142 includes alternating damaged རྟལ and trusted རྟུལ entries	The row is bracketed by explicit ུ siblings and has independently attested rtul.	tibetan_headword_ordinal_conflicts_20260728
wts_1_34	920	22	1	རྟལ	རྟུལ	rtul	tibetan_headword_ocr_confirmed	10139	10134-10144 includes རྟུལ་པོ, རྟུལ་བ, རྟུལ་ཤུགས	The local alphabetical run and exact sibling forms confirm missing Tibetan ུ.	tibetan_headword_ordinal_conflicts_20260728
wts_8_b	357	14	3	རྟལ	རྟུལ	rtul	tibetan_headword_ocr_confirmed	21151	21150 is དབང་པོ་རྟུལ; 21152 follows in the same compound run	The immediately preceding exact sibling independently confirms the missing Tibetan vowel sign.	tibetan_headword_ordinal_conflicts_20260728
wts_35_51	222	1	1	རྡ	རྡ	rda	credible_variant	14351	14346-14356 continues rda/rdar/rdaṅ/rdan	The standalone rda entry is locally coherent and must remain a legitimate transcription control.	tibetan_headword_ordinal_conflicts_20260728
wts_35_51	235	31	8	རྡ	རྡོ	rdo	tibetan_headword_ocr_confirmed		Example inside the dense rdo-rje section	Compound semantics, repeated rdo sibling, and surrounding rdo section establish occurrence-specific Tibetan vowel loss.	tibetan_headword_ordinal_conflicts_20260728
wts_35_51	238	28	1	རྡ	རྡོ	rdo	tibetan_headword_ocr_confirmed	14467	14462-14472 contains repeated རྡོ་རྗེ/rdo rje entries	The row is surrounded by exact རྡོ་རྗེ siblings in the same alphabetical run.	tibetan_headword_ordinal_conflicts_20260728
wts_35_51	243	44	1	རྡ	རྡོ	rdo	tibetan_headword_ocr_confirmed	14522	14517-14527 contains repeated རྡོ་རྗེ/rdo rje entries	The immediately surrounding entries independently establish the missing Tibetan ོ.	tibetan_headword_ordinal_conflicts_20260728
wts_35_51	247	32	1	རྡ	རྡོ	rdo	tibetan_headword_ocr_confirmed	14567	14562-14572 is a continuous rdo compound run	The row lies between explicit རྡོ entries and Latin rdo agrees with the local run.	tibetan_headword_ordinal_conflicts_20260728
wts_9_m	196	31	2	རྡ	རྡོ	rdo	tibetan_headword_ocr_confirmed	23288	23283-23293:continuous མུན compound run	Independent རྡོ/rdo sibling evidence confirms occurrence-specific missing Tibetan ོ; no rda rule is inferred.	tibetan_headword_ordinal_conflicts_20260728
