original_batch	volume	page	line	token_index	tibetan_syllable	original_source	old_target	superseding_target	supersession_reason	evidence	superseding_commit	status
historical_witness_zhang_consensus_batch_20260728	wts_1_34	35	164	3	ཞང	Zan	Zaṅ	źaṅ	reviewed_root_consonant_integrity_failure	explicit_user_reviewed_ཞ_to_ź	a6fae6e57e363d30477a8a3ac9c9ce76c7496ec2	active
historical_witness_zhang_consensus_batch_20260728	wts_1_34	1117	21	3	ཞང	Zan	Zaṅ	źaṅ	reviewed_root_consonant_integrity_failure	explicit_user_reviewed_ཞ_to_ź	a6fae6e57e363d30477a8a3ac9c9ce76c7496ec2	active
historical_witness_zhang_same_entry_echo_batch_20260728	wts_1_34	35	164	7	ཞང	Zan	Zaṅ	źaṅ	reviewed_root_consonant_integrity_failure	explicit_user_reviewed_ཞ_to_ź	a6fae6e57e363d30477a8a3ac9c9ce76c7496ec2	active
tibetan_zhing_consensus_batch_20260726	wts_1_34	386	25	2	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_consensus_batch_20260726	wts_1_34	779	45	2	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_consensus_batch_20260726	wts_1_34	784	200	3	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_consensus_batch_20260726	wts_1_34	1099	32	3	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_consensus_batch_20260726	wts_1_34	1100	10	2	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_consensus_batch_20260726	wts_1_34	1168	60	2	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_consensus_batch_20260726	wts_35_51	260	68	2	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_same_entry_echo_batch_20260726	wts_1_34	784	200	6	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
tibetan_zhing_same_entry_echo_batch_20260726	wts_1_34	1100	10	7	ཞིང	Zin	Ziṅ	źiṅ	reviewed_root_consonant_integrity_failure	reviewed_ཞ_to_ź_registry	f4e461828d42b1cc141d7183da62d3760e9e1384	active
