family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
dollar_ś:s:s	dollar_ś	$ (261)	ś (261)	261	1	wts_35_51:9:82; wts_35_51:37:81; wts_35_51:41:66; wts_35_51:43:86; wts_35_51:46:17	"1: 388,3); Zan Zun gi yul nas ... $/07/ mehed || mlvi gnas $// ""am Ort des großen Dämons || ~ dan gźan 0)7/$ tha mi dad par geig pa las"	orthography_scan:261	medium:261	review
unknown:rol:rol	unknown	rol (92)	Rol (92)	92	1	wts_35_51:41:39; wts_35_51:61:59; wts_35_51:75:54; wts_35_51:141:9; wts_35_51:141:12	"rol fies la rtog byed pa (metr.) ""die eigenen || 55,27); — dpuṅ gäom phyir stobs kyi pha rol || $// ... kun nas rol bar byed (metr.) ""indem cs"			siglum_policy_review
unknown:ins:ins	unknown	ins (42)	Ins (42)	42	1	wts_35_51:28:68; wts_35_51:32:24; wts_35_51:104:7; wts_35_51:140:34; wts_35_51:184:19	"den ins Dorf geführt"" (Ppu 610). || ins Gesicht zu schauen"" (Prav 18,8); skye bo || einen Speer ins Herz und tötete ihn"" (Nel"			siglum_policy_review
unknown:lis:lis	unknown	Lis (33), Li$ (6), lis (3)	Liś (42)	42	1	wts_35_51:19:50; wts_35_51:109:29; wts_35_51:184:82; wts_35_51:208:43; wts_35_51:399:52	"Zig sion rgyal po ... gyi btsun mor byas pa lis || bdar ba: vor sich selbst ausgebreitet"" (Lis || schienen sind"" (In12 W40); 'dir ni lis kyani"			siglum_policy_review
unknown:vist:vist	unknown	VisT (19), ViST (7), VisṬ (1)	ViśT (27)	27	1	wts_35_51:76:60; wts_35_51:141:11; wts_35_51:171:37; wts_35_51:198:3; wts_35_51:252:33	"Hilfe einer angemessenen Methode"" (VisT || er in der jenseitigen Welt glücklich"" (VisT || zurechtmachen, d.h. disziplinieren"" (VisT"			siglum_policy_review
unknown:gs-h:gs-h	unknown	Gs-H (10), GS-H (1)	Gś-H (11)	11	1	wts_35_51:298:10; wts_35_51:356:40; wts_35_51:474:52; wts_35_51:513:8; wts_35_51:696:6	"ben von morgen heute [erledigen]"" (Gs-H || heit geplagt ist, schläft man nicht"" (Gs-H || ist, wie kann er da Besitz anhäufen?"" (Gs-H"			siglum_policy_review
unknown:gs:gs	unknown	gs (9), g$ (1)	Gs (10)	10	1	wts_35_51:14:49; wts_35_51:208:65; wts_35_51:303:23; wts_35_51:641:80; wts_35_51:777:61	"gs — zin pa'am gnaṅ ba lta bu ""wie: ein Rat- || liche Samādhi-Stufen"" (Tär 87,11); gs kyis || 50g$ ""Butter und Fleisch usw. als Suppenein-"			siglum_policy_review
unknown:ys:ys	unknown	Y$ (5), Ys (4), YŚ (1)	Yś (10)	10	1	wts_35_51:464:69; wts_35_51:557:21; wts_35_51:639:73; wts_35_51:1033:50; wts_35_51:2:48	"heraus"" (YŚ 39); sgrub pa mdzad nas / ~ || Galle verabreiche man Abführmittel"" (Ys || die Weisen als Wirkungen des Schleims"" (Ys"			siglum_policy_review
unknown:bu-sz:bu-sz	unknown	Bu-Sz (9)	Bu-śz (9)	9	1	wts_35_51:81:54; wts_35_51:123:37; wts_35_51:124:15; wts_35_51:308:60; wts_35_51:435:49	"Samvara, Värähi und Pramäna usw."" (Bu-Sz || der Nägas plätteten sie [den Boden]"" (Bu-Sz || die Auslegung des Abhidharmakosa"" (Bu-Sz"			siglum_policy_review
unknown:gzi:gzi	unknown	gzi (8)	gZi (8)	8	1	wts_35_51:96:65; wts_35_51:97:28; wts_35_51:120:74; wts_35_51:440:11; wts_35_51:728:8	"cu' min); — sam gzi brjid = ojah ""Glanz"" || Lex. gzi od daṅ ldan pa (Dagy). || Lex. gzi brjid rgyas pa ""großer Glanz (?)"""			siglum_policy_review
unknown:ps:ps	unknown	P$ (4), PS (3), ps (1)	Ps (8)	8	1	wts_35_51:27:58; wts_35_51:736:56; wts_35_51:19:77; wts_35_51:39:3; wts_35_51:98:16	"skyabs nid (metr.) ""du bist die zu དཿ ps || gebracht"" (PS Kol.); bande — kyis kha che'i || bedrängt"" (PS 7c); dpag tsbad broya pa'i ~"			siglum_policy_review
loc_nasal_damage:bźeńs:bźeṅs	loc_nasal_damage	bźeńs (7)	bźeṅs (7)	7	1	wts_35_51:80:4; wts_35_51:274:49; wts_35_51:466:7; wts_35_51:507:25; wts_35_51:638:8	"~ lha khan bźeńs ""dBas erbaute den Din-ri- || (r. bsags) su ... lba khani bźeńs ""um das Töten || khan bźeńs su gsol lo ""er gelobte als Stütze"	orthography_scan:7	medium:7	review
loc_nasal_damage:nań:naṅ	loc_nasal_damage	nań (7)	naṅ (7)	7	1	wts_35_51:73:39; wts_35_51:44:25; wts_35_51:73:39; wts_35_51:399:58; wts_35_51:401:18	"(Vdk-M 115,22); lab 'chin hor zla ~i nań || Lex. rkyen bźťi nań tshan bdag po' rkyen ""ei~"	orthography_scan:6, google_unresolved_plus_orthography_scan:1	medium:5, low:2	review
unknown:lsdz-k:lsdz-k	unknown	Lsdz-K (6), L$dz-K (1)	Lśdz-K (7)	7	1	wts_35_51:214:65; wts_35_51:264:21; wts_35_51:15:88; wts_35_51:38:14; wts_35_51:115:22	"mit 'dre[-Dämonen] debattieren"" (Lsdz-K || des Königs der Vögel, gesteckt"" (Lsdz-K || Ohr"" (Lsdz-K 320,11); tbon chog khrig ger"			siglum_policy_review
unknown:vis:vis	unknown	Viś (5), Vi$ (2)	Vis (7)	7	1	wts_35_51:254:61; wts_35_51:272:34; wts_35_51:518:13; wts_35_51:1042:52; wts_35_51:164:10	"bunden sei"" (Viś 500); khan pa brtsegs pa / || Schaden zufügt"" (Viś 176); tshul khrims chal || in eine schlechte Existenzform"" (Viś 536);"			siglum_policy_review
google_tibetan_diacritic_disagreement:zig:źig	google_tibetan_diacritic_disagreement	Zig (5)	źig (5)	5	1	wts_35_51:90:70; wts_35_51:145:68; wts_35_51:145:76; wts_35_51:164:38; wts_35_51:206:7	"— thog tu 'khyol ba Zig gi tshar gcod ""die || bdag cag gis shan ma mthon ba'i mi ~ Zig || ni che ge mo Zig gis —s byas so ""das hat der"	google_unresolved_tibetan_context:5	medium:5	review
